	name	rating	address	url
89	TK Seafood & Steak	4.3	臺北市大安區大安路一段56號	https://ifoodie.tw/restaurant/573e01252756dd277dd578bd-TK-Seafood-%26-Steak
90	MUGI 木屐	4.7	臺北市松山區市民大道四段137號	https://ifoodie.tw/restaurant/575fc165699b6e74b45d138c-MUGI-%E6%9C%A8%E5%B1%90
91	當吧PAWN BAR	4.6	臺北市中山區長安東路一段45之2號一樓	https://ifoodie.tw/restaurant/5f4bb5e82756dd2483e3e88e-%E7%95%B6%E5%90%A7PAWN-BAR
92	BRIDGISAN 橋下大叔	3.8	台北市中山區新生北路一段62巷16號	https://ifoodie.tw/restaurant/57c1d7792756dd02be5cfba3-BRIDGISAN-%E6%A9%8B%E4%B8%8B%E5%A4%A7%E5%8F%94
93	花生俱樂部 Peanut Club	4.6	臺北市大安區大安路一段19巷16號	https://ifoodie.tw/restaurant/5e54995cd6895d7de6b458d3-%E8%8A%B1%E7%94%9F%E4%BF%B1%E6%A8%82%E9%83%A8-Peanut-Club
94	紅皇后 川酒 · Red Queen Bistro	4.6	臺北市大安區樂利路11巷32號	https://ifoodie.tw/restaurant/5bc8b1f3226139112fdb70bd-%E7%B4%85%E7%9A%87%E5%90%8E-%E5%B7%9D%E9%85%92-%C2%B7-Red-Queen-B
95	Fu milk tea 福奶茶	4.4	臺北市大安區瑞安街135巷4號	https://ifoodie.tw/restaurant/5a6f63932756dd652a8e77a1-Fu-milk-tea-%E7%A6%8F%E5%A5%B6%E8%8C%B6
96	青樓中餐館	4.4	臺北市松山區市民大道四段217號	https://ifoodie.tw/restaurant/5e31aaefd6895d1eb3b572db-%E9%9D%92%E6%A8%93%E4%B8%AD%E9%A4%90%E9%A4%A8
97	BaganHood 蔬食餐酒館	4.6	臺北市信義區忠孝東路四段553巷46弄11號	https://ifoodie.tw/restaurant/5eaadf152756dd71246ecde5-BaganHood-%E8%94%AC%E9%A3%9F%E9%A4%90%E9%85%92%E9%A4%A8
98	ZIGA ZAGA (君悅酒店)	4.3	臺北市信義區松壽路2號	https://ifoodie.tw/restaurant/559d1d42c03a103ee86c4060-ZIGA-ZAGA-(%E5%90%9B%E6%82%85%E9%85%92%E5%BA%97)
99	ChamBistro Diner and Bar	4.4	臺北市信義區松壽路9號6樓	https://ifoodie.tw/restaurant/5c25006b2261395290129121-ChamBistro-Diner-and
100	GUSTOSO 義大利餐廳 (慕軒)	4.2	台北市敦化南路一段331號2樓	https://ifoodie.tw/restaurant/56cc0d83699b6e0f4e53ad67-GUSTOSO-%E7%BE%A9%E5%A4%A7%E5%88%A9%E9%A4%90%E5%BB%B3-(%E6%85%95%E8%BB%92)
101	RAW	4.5	臺北市中山區樂群三路301號	https://ifoodie.tw/restaurant/559dc70dc03a103ee86ca954-RAW
102	Oopsy Daisy Garden	4.5	臺北市大安區延吉街160巷3號	https://ifoodie.tw/restaurant/5ca4c1b72756dd7199b52ab1-Oopsy-Daisy-Garden
103	Alma Spanish Cuisine	4.4	臺北市大安區東豐街11號	https://ifoodie.tw/restaurant/5edf4853d6895d55b0fed23f-Alma-Spanish-Cuisine
